dataset,metric,method,dimensions,points computed,total points,coverage,mean out degree,median out degree,median in degree,min out degree,max out degree,min in degree,max in degree
mnist,euclidean,robust-prune,784,60000,60000,90.0,4.65,4.0,4.0,2,18,1,22
mnist,euclidean,robust-prune,784,60000,60000,90.5,4.73,4.0,5.0,2,18,1,23
mnist,euclidean,robust-prune,784,60000,60000,91.0,4.81,5.0,5.0,2,18,1,25
mnist,euclidean,robust-prune,784,60000,60000,91.5,4.9,5.0,5.0,2,18,1,25
mnist,euclidean,robust-prune,784,60000,60000,92.0,5.0,5.0,5.0,2,19,1,25
mnist,euclidean,robust-prune,784,60000,60000,92.5,5.11,5.0,5.0,2,19,1,25
mnist,euclidean,robust-prune,784,60000,60000,93.0,5.22,5.0,5.0,2,19,1,26
mnist,euclidean,robust-prune,784,60000,60000,93.5,5.34,5.0,5.0,2,19,1,26
mnist,euclidean,robust-prune,784,60000,60000,94.0,5.48,5.0,5.0,2,20,1,27
mnist,euclidean,robust-prune,784,60000,60000,94.5,5.62,5.0,5.0,2,20,1,29
mnist,euclidean,robust-prune,784,60000,60000,95.0,5.79,5.0,6.0,2,20,1,31
mnist,euclidean,robust-prune,784,60000,60000,95.5,5.97,6.0,6.0,2,21,1,31
mnist,euclidean,robust-prune,784,60000,60000,96.0,6.18,6.0,6.0,2,22,1,32
mnist,euclidean,robust-prune,784,60000,60000,96.5,6.42,6.0,6.0,2,24,1,33
mnist,euclidean,robust-prune,784,60000,60000,97.0,6.71,6.0,6.0,2,24,1,37
mnist,euclidean,robust-prune,784,60000,60000,97.5,7.05,7.0,7.0,2,24,1,39
mnist,euclidean,robust-prune,784,60000,60000,98.0,7.48,7.0,7.0,2,24,1,42
mnist,euclidean,robust-prune,784,60000,60000,98.5,8.04,8.0,8.0,2,26,1,46
mnist,euclidean,robust-prune,784,60000,60000,99.0,8.86,9.0,8.0,2,29,1,54
mnist,euclidean,robust-prune,784,60000,60000,99.5,10.32,10.0,10.0,2,32,1,63
mnist,euclidean,robust-prune,784,60000,60000,100.0,19.64,19.0,17.0,2,67,1,134
mnist,euclidean,set-cover,784,60000,60000,90.0,1.53,1.0,2.0,1,5,1,2055
mnist,euclidean,set-cover,784,60000,60000,90.5,1.57,2.0,2.0,1,5,1,2056
mnist,euclidean,set-cover,784,60000,60000,91.0,1.62,2.0,2.0,1,5,1,2057
mnist,euclidean,set-cover,784,60000,60000,91.5,1.66,2.0,2.0,1,5,1,2059
mnist,euclidean,set-cover,784,60000,60000,92.0,1.71,2.0,2.0,1,5,1,2059
mnist,euclidean,set-cover,784,60000,60000,92.5,1.77,2.0,2.0,1,5,1,2059
mnist,euclidean,set-cover,784,60000,60000,93.0,1.83,2.0,2.0,1,5,1,2059
mnist,euclidean,set-cover,784,60000,60000,93.5,1.89,2.0,2.0,1,6,1,2060
mnist,euclidean,set-cover,784,60000,60000,94.0,1.97,2.0,2.0,1,6,1,2061
mnist,euclidean,set-cover,784,60000,60000,94.5,2.05,2.0,2.0,1,6,1,2064
mnist,euclidean,set-cover,784,60000,60000,95.0,2.14,2.0,2.0,1,6,1,2067
mnist,euclidean,set-cover,784,60000,60000,95.5,2.25,2.0,2.0,1,7,1,2070
mnist,euclidean,set-cover,784,60000,60000,96.0,2.37,2.0,2.0,1,7,1,2072
mnist,euclidean,set-cover,784,60000,60000,96.5,2.51,2.0,2.0,1,7,1,2073
mnist,euclidean,set-cover,784,60000,60000,97.0,2.68,3.0,3.0,1,8,1,2076
mnist,euclidean,set-cover,784,60000,60000,97.5,2.89,3.0,3.0,1,8,1,2079
mnist,euclidean,set-cover,784,60000,60000,98.0,3.16,3.0,3.0,1,9,1,2081
mnist,euclidean,set-cover,784,60000,60000,98.5,3.53,3.0,3.0,1,11,1,2083
mnist,euclidean,set-cover,784,60000,60000,99.0,4.08,4.0,3.0,1,13,1,2088
mnist,euclidean,set-cover,784,60000,60000,99.5,5.15,5.0,4.0,1,16,1,2092
mnist,euclidean,set-cover,784,60000,60000,100.0,17.03,17.0,10.0,2,48,1,2124
fashion_mnist,euclidean,robust-prune,784,60000,60000,90.0,3.75,3.0,3.0,1,31,1,50
fashion_mnist,euclidean,robust-prune,784,60000,60000,90.5,3.79,3.0,4.0,1,31,1,50
fashion_mnist,euclidean,robust-prune,784,60000,60000,91.0,3.83,3.0,4.0,1,32,1,50
fashion_mnist,euclidean,robust-prune,784,60000,60000,91.5,3.88,3.0,4.0,1,32,1,50
fashion_mnist,euclidean,robust-prune,784,60000,60000,92.0,3.93,3.0,4.0,1,32,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,92.5,3.98,4.0,4.0,1,32,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,93.0,4.04,4.0,4.0,1,32,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,93.5,4.1,4.0,4.0,1,34,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,94.0,4.17,4.0,4.0,1,34,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,94.5,4.24,4.0,4.0,1,37,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,95.0,4.33,4.0,4.0,1,39,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,95.5,4.42,4.0,4.0,1,39,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,96.0,4.52,4.0,4.0,1,39,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,96.5,4.64,4.0,4.0,1,39,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,97.0,4.78,4.0,4.0,1,48,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,97.5,4.95,4.0,5.0,1,48,1,51
fashion_mnist,euclidean,robust-prune,784,60000,60000,98.0,5.16,5.0,5.0,1,59,1,51
